row_id,title,year,captured_citation_count,doi,openalex_id,venue,type,open_access,open_access_url,authors,institutions,source_query_count,source_queries,audit_classification,directness,duplicate_group,review_status
43,Why Do Individuals Engage in In-Play Sports Betting? A Qualitative Interview Study,2020,51,10.1007/s10899-020-09968-9,https://openalex.org/W3048569681,Journal of Gambling Studies,article,True,https://link.springer.com/content/pdf/10.1007/s10899-020-09968-9.pdf,Elizabeth A. Killick; Mark D. Griffiths,Nottingham Trent University,2,bookmaker market structure online betting; anchor_asset_pricing,sports_betting_market_support,medium,,automated retained set; manual core review required
44,The wisdom of ignorant crowds: Predicting sport outcomes by mere recognition,2011,50,10.1017/s1930297500002096,https://openalex.org/W1526897159,Judgment and Decision Making,article,True,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/7C2AC74AD203E72246B69F340E274599/S1930297500002096a.pdf/div-class-title-the-wisdom-of-ignorant-crowds-predicting-sport-outcomes-by-mere-recognition-div.pdf,Stefan M. Herzog; Ralph Hertwig,University of Basel,6,arbitrage betting cross bookmaker; inter-market arbitrage sports betting; statistical arbitrage sports betting probability; European football gambling arbitrage soccer; correlated outcomes arbitrage sports market; anchor_wisdom_crowds,tangential_betting_or_gambling,low,,automated retained set; manual core review required
45,How structural changes in online gambling are shaping the contemporary experiences and behaviours of online gamblers: an interview study,2022,49,10.1186/s12889-022-14019-6,https://openalex.org/W4293200014,BMC Public Health,article,True,https://bmcpublichealth.biomedcentral.com/counter/pdf/10.1186/s12889-022-14019-6,Nerilee Hing; Michèle C. Smith; Matthew Rockloff; Hannah Thorne; Alex Russell,Central Queensland University; Indigenous Wellbeing Centre,3,matched betting bonus arbitrage sports; bookmaker market structure online betting; anchor_profiting_arb,sports_betting_market_support,medium,,automated retained set; manual core review required
46,Explaining the Favorite-Longshot Bias: Is it Risk-Love or Misperceptions?,2010,49,10.3386/w15923,https://openalex.org/W2890964812,National Bureau of Economic Research,preprint,True,https://doi.org/10.3386/w15923,Erik Snowberg; Justin Wolfers,California Institute of Technology,3,statistical arbitrage sports betting probability; bookmaker pricing model information asymmetry; anchor_shin,tangential_betting_or_gambling,low,,automated retained set; manual core review required
47,SENTIMENT BIAS AND ASSET PRICES: EVIDENCE FROM SPORTS BETTING MARKETS AND SOCIAL MEDIA,2016,49,10.1111/ecin.12404,https://openalex.org/W2524772685,Economic Inquiry,article,False,,Arne Feddersen; Brad R. Humphreys; Brian P. Soebbing,Temple University Hospital; University of Southern Denmark; West Virginia University,1,anchor_asset_pricing,sports_betting_market_support,medium,DUP-08,automated retained set; manual core review required
48,Sentimental Preferences and the Organizational Regime of Betting Markets,2011,48,10.4284/0038-4038-78.2.502,https://openalex.org/W2246877452,Southern Economic Journal,article,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.4284/0038-4038-78.2.502,Egon Franck; Erwin Verbeek; Stephan Nüesch,University of Zurich,22,sports betting arbitrage; inter-market arbitrage sports betting; bookmaker exchange arbitrage Betfair; betting market arbitrage odds; sports betting market efficiency arbitrage; betting exchange price efficiency Betfair; sports order book liquidity depth; sports betting commission fee structure; betting exchange commission Betfair sports; sports betting hedging risk reduction; statistical arbitrage sports betting probability; European football gambling arbitrage soccer; bookmaker market structure online betting; sports betting market microstructure; correlated outcomes arbitrage sports market; anchor_inter_market_arb; anchor_inter_market_arb2; anchor_profiting_arb; anchor_arb_winning; anchor_efficiency_review; anchor_forecasting; anchor_weak_form,sports_betting_market_support,medium,,automated retained set; manual core review required
49,PARX model for football match predictions,2017,47,10.1002/for.2471,https://openalex.org/W2520564469,Journal of Forecasting,article,True,http://hdl.handle.net/11585/584368,Giovanni Angelini; Luca De Angelis,University of Bologna,3,arbitrage betting cross bookmaker; European football gambling arbitrage soccer; anchor_profiting_arb,sports_betting_market_support,medium,,automated retained set; manual core review required
50,"“Get a £10 Free Bet Every Week!”—Gambling Advertising on Twitter: Volume, Content, Followers, Engagement, and Regulatory Compliance",2021,47,10.1177/0743915621999674,https://openalex.org/W3129521947,Journal of Public Policy & Marketing,article,True,https://doi.org/10.1177/0743915621999674,Raffaello Rossi; Agnès Nairn; Josh Smith; Christopher Inskip,University of Bristol; University of Sussex,1,sports betting account restriction limitation,gambling_harm_or_marketing,context_only,,automated retained set; manual core review required
51,Sports prediction and betting models in the machine learning age: The case of tennis,2021,46,10.3233/jsa-200463,https://openalex.org/W3128655830,Journal of Sports Analytics,article,True,https://content.iospress.com:443/download/journal-of-sports-analytics/jsa200463?id=journal-of-sports-analytics%2Fjsa200463,Sascha Wilkens,,21,sports betting arbitrage; arbitrage betting cross bookmaker; inter-market arbitrage sports betting; back lay arbitrage betting exchange; negative overround sports betting; sports betting market efficiency arbitrage; overround bookmaker margin sports betting; weak semi strong efficiency sports betting; sports order book liquidity depth; linear programming sports betting kelly criterion; statistical arbitrage sports betting probability; football betting market efficiency overround; tennis betting market efficiency; bookmaker market structure online betting; cross-market equivalent bets normalization sports; anchor_inter_market_arb; anchor_arb_winning; anchor_efficiency_review; anchor_wisdom_crowds; anchor_forecasting; anchor_weak_form,sports_betting_market_support,medium,,automated retained set; manual core review required
52,Structural characteristics of fixed-odds sports betting products,2021,45,10.1556/2006.2021.00008,https://openalex.org/W3142549084,Journal of Behavioral Addictions,review,True,https://akjournals.com/downloadpdf/journals/2006/10/3/article-p371.pdf,Philip Newall; Alex Russell; Nerilee Hing,Central Queensland University,18,sports betting arbitrage; arbitrage betting cross bookmaker; betting market arbitrage odds; sports betting market efficiency arbitrage; betting limits stake restrictions bookmaker; sports betting commission fee structure; arbitrage opportunity duration sports betting; matched betting bonus arbitrage sports; statistical arbitrage sports betting probability; European football gambling arbitrage soccer; tennis betting market efficiency; horse racing betting market efficiency arbitrage; bookmaker market structure online betting; correlated outcomes arbitrage sports market; anchor_profiting_arb; anchor_arb_winning; anchor_efficiency_review; anchor_wisdom_crowds,sports_betting_market_support,medium,DUP-09,automated retained set; manual core review required
